y,udnew,OI,net,opmcl,short
1 ,-1.00 ,49503.00 ,4462.00 ,-23.00 ,21614.00 
1 ,66.00 ,47316.00 ,4721.00 ,-49.00 ,23063.00 
0 ,7.00 ,41885.00 ,1132.00 ,101.00 ,25388.00 
0 ,-2.00 ,31146.00 ,70.00 ,-16.00 ,26643.00 
1 ,78.00 ,20312.00 ,-738.00 ,65.00 ,36533.00 
0 ,25.00 ,10294.00 ,791.00 ,17.00 ,38512.00 
1 ,37.00 ,45470.00 ,-1460.00 ,35.00 ,21198.00 
1 ,77.00 ,47051.00 ,1431.00 ,18.00 ,22764.00 
0 ,-40.00 ,45875.00 ,-2303.00 ,24.00 ,24542.00 
1 ,36.00 ,47463.00 ,2419.00 ,-23.00 ,26788.00 
0 ,-68.00 ,46032.00 ,-3488.00 ,20.00 ,27294.00 
1 ,-6.00 ,44086.00 ,1107.00 ,-11.00 ,28928.00 
0 ,-73.00 ,45216.00 ,-3783.00 ,-40.00 ,28183.00 
1 ,42.00 ,43644.00 ,933.00 ,0.00 ,29132.00 
1 ,35.00 ,46194.00 ,5732.00 ,-27.00 ,30767.00 
1 ,14.00 ,47610.00 ,7011.00 ,16.00 ,33341.00 
1 ,17.00 ,50411.00 ,11173.00 ,-18.00 ,32858.00 
0 ,-69.00 ,49133.00 ,4820.00 ,28.00 ,31469.00 
0 ,-65.00 ,45992.00 ,-969.00 ,-31.00 ,30050.00 
0 ,-57.00 ,47924.00 ,-2979.00 ,-12.00 ,28999.00 
0 ,-1.00 ,48249.00 ,-5618.00 ,14.00 ,29384.00 
0 ,-39.00 ,47499.00 ,-6768.00 ,-3.00 ,28118.00 
1 ,-28.00 ,46603.00 ,-6072.00 ,-28.00 ,27229.00 
0 ,1.00 ,51055.00 ,-10683.00 ,6.00 ,27985.00 
0 ,-9.00 ,52213.00 ,-11973.00 ,30.00 ,37470.00 
0 ,-72.00 ,51778.00 ,-16282.00 ,-29.00 ,32826.00 
0 ,70.00 ,49205.00 ,-16639.00 ,36.00 ,26283.00 
1 ,70.00 ,45266.00 ,-15523.00 ,53.00 ,29886.00 
1 ,63.00 ,35869.00 ,-11587.00 ,33.00 ,28284.00 
1 ,41.00 ,20689.00 ,-4409.00 ,35.00 ,35430.00 
1 ,-80.00 ,10288.00 ,-9931.00 ,-16.00 ,36299.00 
0 ,-141.00 ,48040.00 ,-17133.00 ,-53.00 ,32489.00 
1 ,67.00 ,46777.00 ,-15518.00 ,0.00 ,37864.00 
1 ,79.00 ,44833.00 ,-9393.00 ,58.00 ,33852.00 
1 ,44.00 ,47501.00 ,-2070.00 ,-26.00 ,29896.00 
1 ,105.00 ,47635.00 ,1474.00 ,-9.00 ,31972.00 
1 ,78.00 ,51834.00 ,1271.00 ,53.00 ,30466.00 
1 ,54.00 ,54358.00 ,4639.00 ,-2.00 ,34559.00 
0 ,-33.00 ,55458.00 ,2438.00 ,6.00 ,33132.00 
1 ,-36.00 ,55878.00 ,2506.00 ,-19.00 ,34112.00 
1 ,15.00 ,56731.00 ,2903.00 ,-33.00 ,27180.00 
0 ,-57.00 ,53804.00 ,-2287.00 ,-11.00 ,35765.00 
1 ,77.00 ,53311.00 ,-2227.00 ,-1.00 ,31564.00 
1 ,47.00 ,54125.00 ,-5107.00 ,71.00 ,32355.00 
1 ,2.00 ,53838.00 ,-3559.00 ,-25.00 ,29329.00 
1 ,-64.00 ,55307.00 ,-2892.00 ,4.00 ,30267.00 
0 ,-73.00 ,54431.00 ,-1912.00 ,-42.00 ,27985.00 
1 ,-17.00 ,54794.00 ,-5507.00 ,-33.00 ,29983.00 
0 ,-13.00 ,50521.00 ,-7137.00 ,-21.00 ,29592.00 
0 ,46.00 ,40474.00 ,-6257.00 ,49.00 ,35464.00 
0 ,31.00 ,31221.00 ,-8087.00 ,19.00 ,39902.00 
1 ,53.00 ,53840.00 ,-7074.00 ,54.00 ,27612.00 
1 ,57.00 ,53683.00 ,-3462.00 ,-1.00 ,26892.00 
1 ,66.00 ,55339.00 ,-4545.00 ,35.00 ,35841.00 
0 ,25.00 ,54022.00 ,-2475.00 ,5.00 ,39008.00 
0 ,29.00 ,53541.00 ,-1872.00 ,19.00 ,36710.00 
0 ,-4.00 ,54340.00 ,-2401.00 ,10.00 ,37563.00 
1 ,48.00 ,56949.00 ,-881.00 ,-5.00 ,37082.00 
1 ,107.00 ,58465.00 ,-1036.00 ,6.00 ,37089.00 
0 ,20.00 ,58759.00 ,-2194.00 ,26.00 ,36957.00 
0 ,-38.00 ,59890.00 ,405.00 ,11.00 ,33765.00 
0 ,-77.00 ,60584.00 ,-5448.00 ,-21.00 ,32775.00 
0 ,-14.00 ,58614.00 ,-5800.00 ,-3.00 ,33413.00 
1 ,30.00 ,59686.00 ,-4884.00 ,2.00 ,36407.00 
1 ,15.00 ,58207.00 ,-7048.00 ,6.00 ,34722.00 
0 ,-61.00 ,57361.00 ,-11959.00 ,-19.00 ,33838.00 
1 ,70.00 ,54347.00 ,-8647.00 ,-5.00 ,39365.00 
0 ,-11.00 ,38736.00 ,-10558.00 ,57.00 ,34635.00 
1 ,-1.00 ,32667.00 ,-11901.00 ,-41.00 ,37404.00 
1 ,103.00 ,18341.00 ,-8050.00 ,23.00 ,30604.00 
0 ,0.00 ,56319.00 ,-10308.00 ,40.00 ,29467.00 
0 ,-33.00 ,57001.00 ,-12209.00 ,-8.00 ,27678.00 
1 ,38.00 ,59336.00 ,-10295.00 ,-19.00 ,29817.00 
0 ,-28.00 ,60465.00 ,-13433.00 ,19.00 ,28423.00 
1 ,25.00 ,60166.00 ,-10873.00 ,-26.00 ,29597.00 
0 ,-64.00 ,59145.00 ,-14807.00 ,12.00 ,25332.00 
1 ,-87.00 ,61711.00 ,-8657.00 ,-27.00 ,31142.00 
0 ,-315.00 ,61081.00 ,-14158.00 ,-107.00 ,28981.00 
0 ,-171.00 ,61081.00 ,-16711.00 ,-147.00 ,24865.00 
0 ,85.00 ,52424.00 ,-16059.00 ,36.00 ,21715.00 
1 ,99.00 ,50744.00 ,-13881.00 ,51.00 ,22330.00 
1 ,15.00 ,51889.00 ,-13536.00 ,36.00 ,23288.00 
1 ,93.00 ,50694.00 ,-7437.00 ,0.00 ,26574.00 
1 ,82.00 ,51297.00 ,-4973.00 ,34.00 ,30312.00 
0 ,13.00 ,51343.00 ,-2377.00 ,12.00 ,32963.00 
1 ,102.00 ,45962.00 ,1485.00 ,51.00 ,32657.00 
0 ,24.00 ,36448.00 ,549.00 ,41.00 ,31879.00 
1 ,9.00 ,28586.00 ,2629.00 ,4.00 ,34172.00 
1 ,-32.00 ,19396.00 ,7318.00 ,-27.00 ,26592.00 
0 ,-2.00 ,48673.00 ,5403.00 ,-27.00 ,26948.00 
1 ,106.00 ,47721.00 ,8257.00 ,70.00 ,28870.00 
0 ,15.00 ,48780.00 ,9001.00 ,3.00 ,29267.00 
0 ,16.00 ,49242.00 ,11409.00 ,54.00 ,31389.00 
1 ,36.00 ,53905.00 ,16342.00 ,-8.00 ,36478.00 
1 ,-48.00 ,55246.00 ,18254.00 ,2.00 ,37739.00 
0 ,-65.00 ,51656.00 ,12549.00 ,-66.00 ,34464.00 
1 ,74.00 ,49747.00 ,9876.00 ,-6.00 ,31368.00 
0 ,71.00 ,50464.00 ,12381.00 ,88.00 ,32180.00 
1 ,111.00 ,56023.00 ,18919.00 ,4.00 ,36829.00 
